details,date,city,state,country,shape,summary,report_date,posted_date,image,,,,,,
https://nuforc.org/sighting/?id=159630,9/30/20 17:08,Edmond,OK,USA,Egg,Silver UFO seen in Edmond suddenly vanished,9/30/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159632,9/30/20 17:00,Abington,PA,USA,Cigar,"Ugh. 500PM. Sitting on Bach deck. Two clouds in the sky. Blue sky. Crystal clear. The one small cloud, NE sky, had what looked like a",9/30/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159665,9/30/20 6:30,Nebraska City,IA,USA,Circle,3 circle shaped craft flying in triangle formation start spinning and switching places changing directions very quickly,9/30/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159667,9/30/20 6:30,Mechanicsburg,PA,USA,Flash,"It was a super bright, long lasting flash.",9/30/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159957,9/30/20 5:08,Jonesboro,AR,USA,,MADAR Node 143,10/15/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159679,9/30/20 3:45,Colombus,OH,USA,Rectangle,rectangular object green trail from entry in atmostphere.,10/1/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159666,9/30/20 3:30,North Phoenix,AZ,USA,Flash,I was finishing up working on my wife car when I notice Two white lights in the sky right next to each other. I ran inside to get my wi,9/30/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159958,9/29/20 23:38,Houston,TX,USA,,MADAR Node 118,10/15/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159670,9/29/20 22:55,Murray,UT,USA,Oval,White oval object zooms toward the mountains,9/29/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159668,9/29/20 22:45,Nuevo,CA,USA,Sphere,Orange light seen moving side to side by four witnesses.,9/29/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159695,9/29/20 22:00,Oakville,WA,USA,Unknown,It seemed to be scanning the landscape,10/1/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159622,9/29/20 20:25,Temecula,CA,USA,Light,On 8:25 pm a bright white light that had what appeared to be illuminated fog surrounding it flew over my house from South to North.,9/30/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159624,9/29/20 20:00,Spokane,WA,USA,Circle,"Round object in the sky with very bright red, blue and white lights flashing lights",9/30/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159883,9/29/20 18:30,Palmdale,CA,USA,Triangle,Three triangular shapes with green lights,10/10/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159672,9/29/20 9:00,Las Vegas/Ryolite (between),NV,USA,Chevron,We were headed from Las Vegas to Ryolite. We were run off the road by lice/ military vehicles at a high rate of speed carrying an aircr,9/29/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159961,9/29/20 6:48,West Chazy,NY,USA,,MADAR Node 85,10/15/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159615,9/29/20 4:12,Kearney,NE,USA,Light,"I was out on the back patio around 4:10 in the morning, looking up at eastern sky, and saw a light move in a arc “like it was doing a t",9/29/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159652,9/29/20 1:30,Silver Lake,IN,USA,Disk,"Very bright saucer over lake making high pitched sound, causing dog to go nuts.",9/30/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159592,9/28/20 22:00,Ithaca,NY,USA,Triangle,"Right at that time part of our lights went out in the house.... Not all, Just in the living room; the tv went dark.",9/28/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159601,9/28/20 21:00,Columbus,OH,USA,Circle,"I was standing outside at 7:20am and noticed a bright gleaming object high up into the sky, it was extremely bright and it was moving a",9/28/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159934,9/28/20 21:00,East Providence,RI,USA,Circle,Outside on the back porch at night when I saw something in the sky. Object was circular with red panels on the bottom that looked like,10/14/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159713,9/28/20 21:00,Richmond,VA,USA,Changing,This tight shape fanned out into 6 to 7 individual dimly lit red lights in a downward V-shaped formation traveling horizontally.,10/3/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159676,9/28/20 20:30,Clarion,PA,USA,Changing,They come back to the same spot frequently.,10/1/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159963,9/28/20 18:12,Ajax,ON,Canada,,MADAR Node 41,10/15/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=160422,9/28/20 15:00,Athens,AL,USA,Other,A command module looking craft.,11/5/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159671,9/28/20 14:50,Winslow,AR,USA,Light,We saw a pulsating and hovering bright light in the sky near I-49 at exit 40 to the east and again at exit 45 to the west that had trai,9/29/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159839,9/28/20 5:30,Ignacio,CO,USA,Orb,Sunset on ute reservation 4 mile from Ignacio colo. I was driving down the road heading home seen the sunset ion the east of town tha,10/9/20,12/23/20,,,,,,,
